,period_0,period_1,period_2,mean,std,stability,rank_stability,rank_mean
rotation_z60,0.0027986006,0.0,0.0070887306,0.0032957771,0.0029152376,67.29956,210,171
drawdown_120,0.0074280505,0.0,0.0031534361,0.0035271624,0.0030439817,66.9228,211,158
ma_50_slope,0.0,0.0033511901,0.0,0.0011170633,0.0015797662,64.63536,212,233
vol_ratio_10v120,0.0,0.0045993216,0.008765364,0.0044548954,0.0035799018,64.158875,213,116
XLF_dvol_z20,0.0,0.0,0.0035744044,0.0011914681,0.0016849904,61.782707,214,232
ret_60d_rank_cubic,0.003635516,0.0,0.0,0.0012118387,0.0017137986,61.053886,215,231
vix_cross_5v20,0.0,0.00608061,0.0013392778,0.002473296,0.0026086974,61.003662,216,207
bb_position_120,0.0,0.0036694112,0.0,0.001223137,0.001729777,60.658554,217,230
vix_z20,0.0,0.010490909,0.0075951573,0.006028689,0.0044238116,60.585506,218,23
vol_ratio_5v20,0.0,0.0037708646,0.0,0.0012569549,0.0017776026,59.511494,219,229
vix_accel_5d,0.0,0.0040968456,0.0,0.0013656152,0.0019312715,56.155823,220,228
atr_ratio_14v21,0.0,0.0,0.0042400244,0.0014133415,0.0019987668,54.82159,221,227
vix_z60,0.0,0.004468674,0.0,0.0014895579,0.002106553,52.842636,222,226
bb_position_20,0.0,0.0,0.004718885,0.0015729616,0.0022245036,50.86534,223,225
rsi_60,0.0,0.0,0.0049227043,0.0016409014,0.002320585,49.381798,224,224
ann_ret_since_start,0.0,0.0,0.004936982,0.0016456606,0.0023273155,49.281788,225,223
ret_spx_60d,0.0,0.0050984905,0.0,0.0016994969,0.0024034516,48.183723,226,222
breadth_pos_60d,0.0053916476,0.0,0.0,0.0017972159,0.002541647,46.3345,227,220
so_vs_univ,0.0,0.0,0.0061349557,0.0020449853,0.0028920458,42.32934,228,218
dxy_z20,0.0,0.0,0.0063348957,0.002111632,0.0029862984,41.389664,229,217
mom_ratio_5v20,0.0,0.006524178,0.0,0.002174726,0.003075527,40.545383,230,215
vol_5d,0.006589264,0.0,0.0,0.0021964214,0.003106209,40.264626,231,214
IEF_dvol_z20,0.006838334,0.0,0.0,0.0022794446,0.0032236215,39.232346,232,212
dd_250_severity,0.0070457966,0.0,0.0,0.0023485988,0.0033214204,38.420094,233,211
drawdown_60,0.0,0.007201003,0.0,0.0024003342,0.0033945853,37.838543,234,210
ret_120d_rank_cubic,0.0076996256,0.0,0.0,0.0025665418,0.0036296383,36.106117,235,204
universe_disp_20d,0.013913485,0.0035982276,0.0,0.0058372375,0.0058966735,35.989468,236,30
XLY_dvol_z20,0.0,0.0,0.00852109,0.0028403634,0.0040168804,33.63279,237,195
so_cross_5v60,0.0,0.0,0.0,0.0,0.0,,238,245
hy_spread,0.0,0.0,0.0,0.0,0.0,,239,245
hy_spread_z5,0.0,0.0,0.0,0.0,0.0,,240,245
hy_spread_z20,0.0,0.0,0.0,0.0,0.0,,241,245
hy_spread_z60,0.0,0.0,0.0,0.0,0.0,,242,245
hy_spread_velocity,0.0,0.0,0.0,0.0,0.0,,243,245
hy_spread_velocity_20,0.0,0.0,0.0,0.0,0.0,,244,245
hy_cross_5v20,0.0,0.0,0.0,0.0,0.0,,245,245
hy_cross_5v60,0.0,0.0,0.0,0.0,0.0,,246,245
hy_cross_20v60,0.0,0.0,0.0,0.0,0.0,,247,245
vix_x_hy,0.0,0.0,0.0,0.0,0.0,,248,245
ret_60d_z_xs_sq,0.0,0.0,0.0,0.0,0.0,,249,245
ret_20d_rank_cubic,0.0,0.0,0.0,0.0,0.0,,250,245
dd_60_severity,0.0,0.0,0.0,0.0,0.0,,251,245
vix_accel,0.0,0.0,0.0,0.0,0.0,,252,245
